what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038283799
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288038295412
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1288038297067
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288038297190
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288038297243
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288038334500
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288038338635
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288038338635
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038475278
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038475370
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038475419
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038476956
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038477059
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038477151
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288038564177
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288038564402
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288038564657
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288038565072
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288038627895
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038640756
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038640854
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288038655704
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288038658627
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288039732345
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288039742852
